序号,计划时间,航班号,航空公司,航站楼,值机区域,目的地,计划到达时间
601,19:55,CA1830 SC5449 ZH1830,中国国际航空公司,虹桥(T2),A,广州 白云,23:55:00
602,19:55,FM9327 MU8427,上海航空公司,虹桥(T2),B,郑州,21:55:00
603,19:55,CZ8762,中国南方航空公司,浦东(T2-S2),B,长春,23:45:00
604,19:55,OQ2308 CZ2308,重庆航空公司,浦东(T2-S2),B,重庆,22:23:00
605,19:55,HO2209,吉祥航空公司,浦东(T2),L,昆明,23:01:00
606,19:55,MU2512 MF3261,中国东方航空公司,虹桥(T2),B,武汉 天河,21:35:00
607,20:00,CZ6252 3U1544 AA9074 HO7536 MF1954,中国南方航空公司,浦东(T2-S2),B,哈尔滨,00:08:00
608,20:00,MU5417 3U5203 HO5340 MF3752,中国东方航空公司,虹桥(T2),C,成都 双流,22:55:00
609,20:00,CA4556 NZ3726 SC5282 UA7523 ZH4582,中国国际航空公司,浦东(T2),K,重庆,22:40:00
610,20:00,CZ3504 HO7396 MF1317,中国南方航空公司,虹桥(T2),D,广州 白云,00:20:00
611,20:00,MF8095 MU4616,厦门航空有限公司,浦东(T2-S2),A,沈阳 桃仙,23:18:00
612,20:00,MU720 DL6398,中国东方航空公司,浦东(T1-S1),A,上海 浦东,18:35:00
613,20:10,JD5666,北京首都航空有限公司,浦东(T2-S2),A,丽江,23:50:00
614,20:10,ZH9528 CA3638 HO5305 KY9434 NH6598 SC9630,深圳航空公司,浦东(T2),K,深圳,22:16:00
615,20:10,MU5673 DL6387 EY5706 MF3915,中国东方航空公司,浦东(T1-S1),A,大连,21:35:00
616,20:10,CZ6564 3U1672 MF4176,中国南方航空公司,虹桥(T2),D,乌鲁木齐,01:30:00
617,20:15,FM9223 DL6540 MU8369,上海航空公司,浦东(T1-S1),D,乌鲁木齐,01:43:00
618,20:15,MU5584 HO5629 MF3863,中国东方航空公司,虹桥(T2),B,烟台,21:55:00
619,20:15,HU7220,海南航空公司,浦东(T2-S2),A,海口,00:06:00
620,20:15,CA8122 SC5467,中国国际航空公司,浦东(T2),K,呼和浩特,22:52:00
621,20:20,MU5559 HO5651 MF3845,中国东方航空公司,虹桥(T2),B,南昌 昌北,21:55:00
622,20:20,CZ6448 HO7569 MF4096,中国南方航空公司,浦东(T2-S2),B,大连,21:49:00
623,20:20,CA8912,中国国际航空公司,浦东(T2),K,大连,22:27:00
624,20:20,FM9239 MU8377,上海航空公司,浦东(T1),D,临沂,21:55:00
625,20:20,CZ3290 HO7378 MF1159,中国南方航空公司,虹桥(T2),D,南宁,23:10:00
626,20:25,CZ6782 AA9086 HO7635,中国南方航空公司,浦东(T2-S2),B,三亚,23:17:00
627,20:25,FM9341 MU8407,上海航空公司,浦东(T1-S1),D,张家界 大庸,22:40:00
628,20:30,MU5357 HO5526 MF3706,中国东方航空公司,虹桥(T2),C,深圳,23:00:00
629,20:30,9C6574,中国春秋航空公司,浦东(T2),M,上海 浦东,19:00:00
630,20:30,HU7608,海南航空公司,虹桥(T2),A,北京 首都,22:55:00
631,20:30,MU2170 HO5566 MF3051,中国东方航空公司,虹桥(T2),B,西安 咸阳,22:55:00
632,20:35,SC2296 CA4750 G56470 TV3126 ZH2618,山东航空公司,虹桥(T2),A,珠海,22:55:00
633,20:35,KN5956 MU8209,中国联合航空公司,虹桥(T2),C,北京 大兴,22:40:00
634,20:35,MU5317 HO5328 MF3674,中国东方航空公司,虹桥(T2),C,广州 白云,22:55:00
635,20:40,CZ6520 AA9075 HO7591 MF4150,中国南方航空公司,浦东(T2-S2),B,沈阳 桃仙,22:39:00
636,20:45,SC4606 CA4712,山东航空公司,浦东(T2-S2),K,青岛,00:21:00
637,20:45,MF8556 MU4859,厦门航空有限公司,浦东(T2-S2),A,北京 大兴,22:41:00
638,20:45,HO1141 AY3157,吉祥航空公司,浦东(T2),L,贵阳,23:09:00
639,20:45,CA4502 HO5749 SC5509 ZH4532,中国国际航空公司,虹桥(T2),A,成都 双流,23:55:00
640,20:50,MU5619 AF5207 DL6415 MF3882 QF4028,中国东方航空公司,浦东(T1),B,哈尔滨,00:35:00
641,20:50,CZ3588 3U1240 HO7442 MF1388,中国南方航空公司,虹桥(T2),D,深圳,23:30:00
642,20:50,MU2309 AF5241 HO5590 MF3135,中国东方航空公司,浦东(T1),B,西宁,00:20:00
643,20:55,HU7612,海南航空公司,虹桥(T2),A,北京 首都,23:10:00
644,20:55,CZ6554 HO7607,中国南方航空公司,浦东(T2-S2),B,长春,23:15:00
645,21:00,HO1518,吉祥航空公司,浦东(T2),L,上海 浦东,19:25:00
646,21:00,MU5497 3U5245 MF3802,中国东方航空公司,虹桥(T2),C,成都 双流,23:55:00
647,21:00,MU5127 HO5383 MF3544,中国东方航空公司,虹桥(T2),C,北京 首都,23:15:00
648,21:00,CZ3544 3U1220 BA2003 HO7417 MF1353,中国南方航空公司,浦东(T2-S2),B,武汉 天河,22:26:00
649,21:05,HU7324,海南航空公司,浦东(T2-S2),A,三亚,00:36:00
650,21:05,HO1165 AY3173 MU3770,吉祥航空公司,浦东(T2),L,大连,22:35:00
651,21:05,CZ6766 HO7633,中国南方航空公司,浦东(T2-S2),B,海口,00:02:00
652,21:10,MU5433 3U5217 AF4412 DL6458 G56808 JL5693 KL8729,中国东方航空公司,浦东(T1),B,重庆,00:05:00
653,21:10,FM9079 DL6531 MU8315,上海航空公司,浦东(T1-S1),D,长春,00:05:00
654,21:10,9C6223,中国春秋航空公司,浦东(T2-S2),M,揭阳 潮汕,00:02:00
655,21:10,MU5523 HO5647 MF3818,中国东方航空公司,虹桥(T2),B,青岛,22:45:00
656,21:10,MU5274 HO5692 MF3645,中国东方航空公司,虹桥(T2),B,太原,23:35:00
657,21:10,MF8546 3U2640 CZ4441 G59476 HO7281 MU4851 NS8546,厦门航空有限公司,虹桥(T1),1,厦门,23:15:00
658,21:15,HO1235 3U4443 CZ146 MF7670 MU3670 ZH5071,吉祥航空公司,虹桥(T2),E,西安 咸阳,01:55:00
659,21:15,ZH9530 CA3800 HO5307 KY9436 SC9634,深圳航空公司,浦东(T2),K,深圳,00:09:00
660,21:15,MU5125 MF3542,中国东方航空公司,虹桥(T2),C,北京 首都,23:25:00
661,21:15,CA1550 SC5419 ZH1550,中国国际航空公司,虹桥(T2),A,北京 首都,22:50:00
662,21:15,MU748 AF4413 DL6386 QF4260,中国东方航空公司,浦东(T1-S1),B,昆明,00:35:00
663,21:15,MU6469 DL6424 EY5711 HO5558 MF7526 QF4053,中国东方航空公司,浦东(T1-S1),B,福州,22:50:00
664,21:15,MU9027 AF5206 HO5655 KL8696 MF2272 QF4063,中国东方航空公司,浦东(T1-S1),B,南昌 昌北,22:50:00
665,21:20,CA4542 SC5272 ZH4572,中国国际航空公司,虹桥(T2),A,重庆,00:05:00
666,21:20,CZ3970 HO7494 MF1682,中国南方航空公司,浦东(T2-S2),B,长沙市,22:56:00
667,21:20,MU5389 DL6406 HO5438 MF3728,中国东方航空公司,浦东(T1-S1),B,桂林,23:55:00
668,21:20,SC1164 CA4612,山东航空公司,浦东(T2-S2),K,济南,00:05:00
669,21:20,FM9297 DL6542 MU8409,上海航空公司,浦东(T1-S1),A,揭阳 潮汕,23:30:00
670,21:25,MU6357 HO5436 MF7474,中国东方航空公司,浦东(T1),B,呼和浩特,00:40:00
671,21:25,CZ6142 3U1502 HO7526 MF1885,中国南方航空公司,浦东(T2-S2),B,哈尔滨,00:17:00
672,21:30,MU5201 HO5703,中国东方航空公司,浦东(T1-S1),B,大同,00:14:00
673,21:30,MU5359 AF4400 DL6450 EY5716 MF3708 QF4085,中国东方航空公司,浦东(T1-S1),B,深圳,00:19:00
674,21:30,MU5812 MF3971,中国东方航空公司,虹桥(T2),B,昆明,00:50:00
675,21:30,CA1510 SC5421 ZH1510,中国国际航空公司,虹桥(T2),A,北京 首都,23:45:00
676,21:30,MU5214 AF4416 DL6396 HO5705 MF3609 QF4057,中国东方航空公司,浦东(T1-S1),B,太原,00:22:00
677,21:30,MU9801 AF5209 MF2316 QF4279,中国东方航空公司,浦东(T1-S1),B,西安 咸阳,23:55:00
678,21:35,SC2298 CA4742 G56700 TV3532 ZH3016,山东航空公司,虹桥(T2),A,珠海,23:55:00
679,21:35,FM9383 DL6555 MU8465,上海航空公司,浦东(T1-S1),D,南宁,00:26:00
680,21:35,MU5165 AF7864 DL6389 MF3576 QF4075,中国东方航空公司,浦东(T1-S1),B,北京 首都,23:50:00
681,21:35,MU6813 HO5581 MF2226,中国东方航空公司,虹桥(T2),B,兰州,00:40:00
682,21:35,HO1889 3U4519 CZ254 MF7604 MU3604 ZH5005,吉祥航空公司,虹桥(T2),E,深圳,23:50:00
683,21:35,MU5603 AF5235 DL6414 EY5719 HO5657 MF3872 QF4067,中国东方航空公司,浦东(T1-S1),A,上海 浦东,19:35:00
684,21:40,MU9728 3U5472 AF5230 DL6433 MF2299 QF4256,中国东方航空公司,浦东(T1-S1),B,昆明,01:15:00
685,21:40,FM9459 MU8509,上海航空公司,浦东(T1-S1),D,贵阳,00:47:00
686,21:40,MU2407 HO5459 KN6035 MF3190,中国东方航空公司,虹桥(T2),B,太原,23:50:00
687,21:45,MU5186 KN6065 MF3589 QF4033 SV6845,中国东方航空公司,浦东(T1-S1),B,北京 大兴,00:05:00
688,21:45,ZH9532 CA3726 HO5197 KY9320 SC9372,深圳航空公司,浦东(T2),K,深圳,00:27:00
