序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
201,MU2511 AF5295 DL6391 MF3260 VN3528,中国东方航空公司,上海 浦东,武汉 天河,95530,11:03:00,12:35:00,浦东(T1-S1)
202,HO1240 3U4448 CZ151 MF7657 MU3657 ZH5058,吉祥航空公司,上海 虹桥,太原,95520,10:31:00,12:40:00,虹桥(T2)
203,MU6212 AF5288 MF7399,中国东方航空公司,上海 浦东,银川,95530,10:05:00,12:40:00,浦东(T1-S1)
204,MU5396 G58541 HO5683 MF3735,中国东方航空公司,上海 虹桥,郑州,95530,10:48:00,12:40:00,虹桥(T2)
205,HO2198,吉祥航空公司,上海 浦东,长治,95520,11:01:00,12:40:00,浦东(T2)
206,CZ3851 HO7483 MF1591,中国南方航空公司,上海 浦东,揭阳 潮汕,4006695539,10:40:00,12:40:00,浦东(T2)
207,MU9980,中国东方航空公司,上海 浦东,青岛,95530,11:06:00,12:40:00,浦东(T1-S1)
208,CA1531 SC5400 ZH1531,中国国际航空公司,上海 虹桥,北京 首都,95583,10:33:00,12:40:00,虹桥(T2)
209,MU9719 3U5465 HO5619 MF2292,中国东方航空公司,上海 虹桥,丽江,95530,09:08:00,12:45:00,虹桥(T2)
210,FM9396 MU8472,上海航空公司,上海 虹桥,长沙市,95530,11:15:00,12:45:00,虹桥(T2)
211,FM9132 DL6537 MU8574,上海航空公司,上海 浦东,包头,95530,10:20:00,12:45:00,浦东(T1-S1)
212,9C8844,中国春秋航空公司,上海 浦东,大连,95524,10:42:00,12:45:00,浦东(T2)
213,HO1158 MU3627,吉祥航空公司,上海 浦东,珠海,95520,10:21:00,12:45:00,浦东(T2)
214,MU9715 HO5624 MF2288,中国东方航空公司,上海 浦东,昭通,95530,09:54:00,12:45:00,浦东(T1-S1)
215,MF8567 3U2655 CZ4462 G59489 HO7294 MU4862 NS8567,厦门航空有限公司,上海 虹桥,厦门,95557,11:18:00,12:50:00,虹桥(T1)
216,TV9865 CA3963 EU7835 GJ5135 KY6735 SC6135 ZH3911,西藏航空公司,上海 虹桥,成都 双流,956096,10:06:00,12:50:00,虹桥(T2)
217,MU5204 HO5475 MF3603,中国东方航空公司,上海 浦东,柳州,95530,10:37:00,12:50:00,浦东(T1-S1)
218,9C8902,中国春秋航空公司,上海 浦东,绵阳,95524,10:24:00,12:50:00,浦东(T2-S2)
219,FM9294,上海航空公司,上海 虹桥,揭阳 潮汕,95530,11:13:00,12:50:00,虹桥(T2)
220,CZ3657 3U1267 HO7461 MF1447,中国南方航空公司,上海 浦东,贵阳,4006695539,10:06:00,12:55:00,浦东(T2-S2)
221,CA8680 HO5757 SC5390 ZH4930,中国国际航空公司,上海 浦东,北京 大兴,95583,10:35:00,12:55:00,浦东(T2)
222,HO1162 AY3156,吉祥航空公司,上海 浦东,大连,95520,10:50:00,12:55:00,浦东(T2)
223,MU5248 HO5551 MF3633,中国东方航空公司,上海 虹桥,厦门,95530,11:12:00,12:55:00,虹桥(T2)
224,CZ6993 3U1909 MF4469,中国南方航空公司,上海 虹桥,乌鲁木齐,4006695539,08:17:00,12:55:00,虹桥(T2)
225,9C8824,中国春秋航空公司,上海 浦东,遵义,95524,10:57:00,13:00:00,浦东(T2-S2)
226,MU5306 MF3663,中国东方航空公司,上海 虹桥,广州 白云,95530,10:36:00,13:00:00,虹桥(T2)
227,CZ3550 3U1222 AA9078 DL7769 HO7419 MF1355 SV6010,中国南方航空公司,上海 浦东,广州 白云,4006695539,10:38:00,13:00:00,浦东(T2-S2)
228,CA4517 NZ3887 SC5506 ZH4547,中国国际航空公司,上海 浦东,成都 双流,95583,09:55:00,13:00:00,浦东(T2)
229,HO1856 3U4506 CZ239 MF7617 MU3617 ZH5018,吉祥航空公司,上海 虹桥,广州 白云,95520,10:54:00,13:05:00,虹桥(T2)
230,CZ5792 3U1446 GJ3130 HO7516 MF1797,中国南方航空公司,上海 浦东,西安 咸阳,4006695539,10:39:00,13:05:00,浦东(T2-S2)
231,MU2155 HO5568 MF3043,中国东方航空公司,上海 虹桥,西安 咸阳,95530,11:25:00,13:10:00,虹桥(T2)
232,9C8836,中国春秋航空公司,上海 虹桥,广州 白云,95524,11:03:00,13:10:00,虹桥(T1)
233,SC4663 CA4761 G56951 TV3163 ZH2663,山东航空公司,上海 虹桥,青岛,95369,11:43:00,13:10:00,虹桥(T2)
234,HO1882 3U4512 CZ247 MF7601 MU3601 ZH5002,吉祥航空公司,上海 虹桥,深圳,95520,11:09:00,13:15:00,虹桥(T2)
235,CA1523 SC5402 ZH1523,中国国际航空公司,上海 虹桥,北京 首都,95583,11:08:00,13:15:00,虹桥(T2)
236,MU6448 HO5411,中国东方航空公司,上海 浦东,朝阳,95530,11:18:00,13:15:00,浦东(T1)
237,CZ3537 3U1215 HO7412 MF1347,中国南方航空公司,上海 虹桥,广州 白云,4006695539,11:10:00,13:20:00,虹桥(T2)
238,FM9272 MU8400,上海航空公司,上海 浦东,西宁,95530,11:41:00,13:20:00,浦东(T1)
239,MU2505,中国东方航空公司,上海 虹桥,武汉 天河,95530,11:34:00,13:20:00,虹桥(T2)
240,HO1106 3U4384 CA3242 CZ063 MF7675 MU3675 ZH5076,吉祥航空公司,上海 虹桥,厦门,95520,11:45:00,13:25:00,虹桥(T2)
241,CA8302 NZ3738 SC5160 ZH4602,中国国际航空公司,上海 浦东,哈尔滨,95583,10:27:00,13:25:00,浦东(T2)
242,CZ3255 3U1083 HO7373 MF1138,中国南方航空公司,上海 虹桥,深圳,4006695539,11:03:00,13:25:00,虹桥(T2)
243,HO1184 AY3168 MU3721,吉祥航空公司,上海 浦东,沈阳 桃仙,95520,11:08:00,13:30:00,浦东(T2)
244,MU5108 HO5367 MF3525,中国东方航空公司,上海 虹桥,北京 首都,95530,11:04:00,13:30:00,虹桥(T2)
245,MU5154 DL6468 MF3567,中国东方航空公司,上海 浦东,北京 首都,95530,11:30:00,13:30:00,浦东(T1)
246,HO1036 MU3805,吉祥航空公司,上海 浦东,赤峰,95520,10:56:00,13:30:00,浦东(T2)
