序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
661,CA8552 NZ3712 SC5498 ZH4836,中国国际航空公司,上海 浦东,成都 双流,95583,20:31:00,22:40:00,浦东(T2)
662,MU6338 HO5528 MF7463,中国东方航空公司,上海 虹桥,哈尔滨,95530,19:26:00,22:40:00,虹桥(T2)
663,HO1082 CA3230 CZ045 MF7633 MU3633 ZH5034,吉祥航空公司,上海 虹桥,海口,95520,19:59:00,22:40:00,虹桥(T2)
664,CA1883 NZ3821 SC5406 ZH1883,中国国际航空公司,上海 浦东,北京 首都,95583,20:38:00,22:40:00,浦东(T2-S2)
665,CA1589 SC5392 ZH1589,中国国际航空公司,上海 虹桥,北京 首都,95583,20:40:00,22:40:00,虹桥(T2)
666,FM9468,上海航空公司,上海 浦东,贵阳,95530,20:15:00,22:40:00,浦东(T1)
667,MU5512,中国东方航空公司,上海 浦东,青岛,95530,21:01:00,22:40:00,浦东(T1)
668,CA8574 SC5162 ZH4852,中国国际航空公司,上海 浦东,海口,95583,20:11:00,22:45:00,浦东(T2)
669,MU5314 HO5381 MF3671,中国东方航空公司,上海 虹桥,广州 白云,95530,20:32:00,22:45:00,虹桥(T2)
670,HO1056,吉祥航空公司,上海 虹桥,大同,95520,20:31:00,22:50:00,虹桥(T2)
671,CA8334 SC5466 ZH4766,中国国际航空公司,上海 浦东,呼和浩特,95583,20:23:00,22:50:00,浦东(T2)
672,9C6476,中国春秋航空公司,上海 虹桥,衡阳,95524,21:08:00,22:50:00,虹桥(T1)
673,MU5612 HO5513 MF3879,中国东方航空公司,上海 浦东,哈尔滨,95530,20:05:00,22:50:00,浦东(T1)
674,MU6368 AF5239 EY5737 QF4276,中国东方航空公司,上海 浦东,济南,95530,21:10:00,22:50:00,浦东(T1-S1)
675,MU9018,中国东方航空公司,上海 浦东,桂林,95530,20:17:00,22:50:00,浦东(T1)
676,MF8858 3U2764 CZ4565 G59728 MU4897 NS8858,厦门航空有限公司,上海 虹桥,泸州,95557,20:18:00,22:55:00,虹桥(T1)
677,FM9338,上海航空公司,上海 虹桥,南宁,95530,20:37:00,22:55:00,虹桥(T2)
678,KN5977 MU8218,中国联合航空公司,上海 浦东,北京 大兴,4001026666,20:50:00,22:55:00,浦东(T1-S1)
679,KN2320 MU8029,中国联合航空公司,上海 浦东,石家庄,4001026666,20:25:00,22:55:00,浦东(T1-S1)
680,CA8538 SC5482 ZH4824,中国国际航空公司,上海 浦东,昆明,95583,19:58:00,22:55:00,浦东(T2)
681,CZ8229 HO7640,中国南方航空公司,上海 浦东,海口,4006695539,19:55:00,22:55:00,浦东(T2-S2)
682,HU7319,海南航空公司,上海 虹桥,海口,95339,19:52:00,22:55:00,虹桥(T2)
683,MU6316 3U5392 HO5417,中国东方航空公司,上海 浦东,兴义,95530,20:12:00,23:00:00,浦东(T1)
684,FM9390 MU8412,上海航空公司,上海 虹桥,长沙市,95530,23:54:00,23:00:00,虹桥(T2)
685,9C8996,中国春秋航空公司,上海 虹桥,重庆,95524,20:40:00,23:00:00,虹桥(T1)
686,HO1074 MU3799,吉祥航空公司,上海 浦东,温州,95520,21:44:00,23:00:00,浦东(T2)
687,MU6346 HO5442 MF7465,中国东方航空公司,上海 浦东,泉州 晋江,95530,21:17:00,23:05:00,浦东(T1-S1)
687,9C6334,中国春秋航空公司,上海 浦东,通辽,95524,19:54:00,23:05:00,浦东(T2-S2)
688,HU7611,海南航空公司,上海 虹桥,北京 首都,95339,20:48:00,23:05:00,虹桥(T2)
689,MU9192,中国东方航空公司,上海 虹桥,北京 大兴,95530,20:48:00,23:10:00,虹桥(T2)
690,MU5128 HO5377 MF3545,中国东方航空公司,上海 虹桥,北京 首都,95530,21:11:00,23:10:00,虹桥(T2)
691,HO1888 3U4518 CA3298 CZ253 MF7613 MU3613 ZH5014,吉祥航空公司,上海 虹桥,深圳,95520,21:20:00,23:10:00,虹桥(T2)
692,CZ6437 3U1623 BA2013 HO7566 MF4085,中国南方航空公司,上海 浦东,哈尔滨,4006695539,20:06:00,23:10:00,浦东(T2-S2)
693,HO1146 MU3785,吉祥航空公司,上海 浦东,武汉 天河,95520,21:29:00,23:10:00,浦东(T2-S2)
694,MU6150 HO5488 MF7377,中国东方航空公司,上海 虹桥,厦门,95530,21:02:00,23:10:00,虹桥(T2)
695,HO1166,吉祥航空公司,上海 浦东,大连,95520,21:05:00,23:15:00,浦东(T2)
696,FM9426 MU8486,上海航空公司,上海 浦东,重庆,95530,20:34:00,23:15:00,浦东(T1)
697,CA1866 SC5448 ZH1866,中国国际航空公司,上海 浦东,广州 白云,95583,21:09:00,23:20:00,浦东(T2-S2)
698,FM9430 MU8488,上海航空公司,上海 浦东,衡阳,95530,20:48:00,23:20:00,浦东(T1-S1)
699,NS8318,河北航空公司,上海 虹桥,深圳,0311-96699,21:13:00,23:20:00,虹桥(T1)
700,MF8318 3U2440 CZ4243 G59080 GJ3860 HO7103 MU4727,厦门航空有限公司,上海 虹桥,深圳,95557,21:13:00,23:20:00,虹桥(T1)
701,MU5592 MF3867,中国东方航空公司,上海 虹桥,三亚,95530,21:28:00,23:25:00,虹桥(T2)
702,MU5813 MF3972,中国东方航空公司,上海 虹桥,昆明,95530,20:39:00,23:25:00,虹桥(T2)
703,9C8932,中国春秋航空公司,上海 虹桥,广州 白云,95524,21:25:00,23:25:00,虹桥(T1)
704,HO1248,吉祥航空公司,上海 浦东,重庆,95520,20:50:00,23:25:00,浦东(T2)
705,MU5436,中国东方航空公司,上海 虹桥,重庆,95530,21:34:00,23:25:00,虹桥(T2)
706,HO1112,吉祥航空公司,上海 浦东,厦门,95520,21:44:00,23:25:00,浦东(T2)
707,FM9364 MU8456,上海航空公司,上海 虹桥,武汉 天河,95530,22:21:00,23:25:00,虹桥(T2)
708,MU5582 HO5549 MF3861,中国东方航空公司,上海 虹桥,威海,95530,22:22:00,23:25:00,虹桥(T2)
709,FM9514 MU8532,上海航空公司,上海 虹桥,珠海,95530,21:46:00,23:25:00,虹桥(T2)
710,MU5394 HO5536 MF3733,中国东方航空公司,上海 浦东,宜昌,95530,21:42:00,23:30:00,浦东(T1)
711,CZ8756 3U2016 BA2025 HO7672,中国南方航空公司,上海 浦东,昆明,4006695539,20:37:00,23:30:00,浦东(T2-S2)
712,HO1280,吉祥航空公司,上海 浦东,福州,95520,21:57:00,23:30:00,浦东(T2-S2)
713,MU9008,中国东方航空公司,上海 浦东,揭阳 潮汕,95530,21:08:00,23:30:00,浦东(T1)
714,MU5166 MF3577,中国东方航空公司,上海 虹桥,北京 首都,95530,21:52:00,23:35:00,虹桥(T2)
715,CA8328 ZH4760,中国国际航空公司,上海 浦东,银川,95583,20:59:00,23:35:00,浦东(T2)
716,9C6392,中国春秋航空公司,上海 浦东,威海,95524,21:43:00,23:35:00,浦东(T2)
717,MU5644 G56827 MF3892,中国东方航空公司,上海 虹桥,天津,95530,21:40:00,23:35:00,虹桥(T2)
718,HO1132 3U4402 CA3256 CZ081 MF7665 MU3665 ZH5066,吉祥航空公司,上海 虹桥,太原,95520,21:32:00,23:40:00,虹桥(T2)
719,9C8804,中国春秋航空公司,上海 虹桥,厦门,95524,22:25:00,23:40:00,虹桥(T1)
720,HO1064,吉祥航空公司,上海 虹桥,襄樊,95520,21:52:00,23:40:00,虹桥(T2)
721,MU2169,中国东方航空公司,上海 虹桥,西安 咸阳,95530,21:55:00,23:40:00,虹桥(T2)
722,9C6216,中国春秋航空公司,上海 虹桥,泉州 晋江,95524,21:59:00,23:40:00,虹桥(T1)
723,FM9068,上海航空公司,上海 浦东,长春,95530,20:43:00,23:40:00,浦东(T1-S1)
724,MU5318 HO5373 MF3675,中国东方航空公司,上海 虹桥,广州 白云,95530,21:30:00,23:40:00,虹桥(T2)
725,9C8886,中国春秋航空公司,上海 虹桥,贵阳,95524,21:11:00,23:40:00,虹桥(T1)
726,HO1128 3U4398 CA3252 CZ077 MF7625 MU3625 ZH5026,吉祥航空公司,上海 虹桥,三亚,95520,20:31:00,23:40:00,虹桥(T2)
727,HO1114,吉祥航空公司,上海 浦东,青岛,95520,22:05:00,23:40:00,浦东(T2-S2)
728,MU5358 HO5345 MF3707,中国东方航空公司,上海 虹桥,深圳,95530,21:27:00,23:40:00,虹桥(T2)
729,MU2993 HO5661 MF3514,中国东方航空公司,上海 虹桥,赣州,95530,21:52:00,23:45:00,虹桥(T2)
