序号,计划时间,航班号,航空公司,航站楼,值机区域,目的地,计划到达时间
236,11:20,GS7884,天津航空,虹桥(T2),A,天津,13:35:00
237,11:20,FM9111 MU8333,上海航空公司,浦东(T1-S1),D,天津,13:46:00
238,11:20,MU6874 KN6171 MF2249,中国东方航空公司,虹桥(T2),C,北京 大兴,13:25:00
239,11:20,KN2319 MU8028,中国联合航空公司,浦东(T1),A,石家庄,14:06:00
240,11:25,ZH9512 CA3476 HO5139 KY9512 SC9512,深圳航空公司,浦东(T2),K,深圳,13:47:00
241,11:25,CZ8888 3U2070 HO7684 MF4718,中国南方航空公司,虹桥(T2),D,北京 大兴,13:25:00
242,11:25,HO1209 3U4431 CA3267 CZ126 MF7672 MU3672 ZH5073,吉祥航空公司,虹桥(T2),E,贵阳,14:15:00
243,11:25,CA4504 LH7114 NZ3720 OS8005 SC5495 ZH4534,中国国际航空公司,浦东(T2),K,成都 双流,14:37:00
244,11:25,MU6417 HO5676 KL8721 MF7502,中国东方航空公司,浦东(T1-S1),B,厦门,13:13:00
245,11:30,HO1211,吉祥航空公司,浦东(T2),L,西安 咸阳,14:15:00
246,11:30,FM9429 MU8487,上海航空公司,浦东(T1-S1),D,衡阳,13:48:00
247,11:30,CZ3592 HO7446 MF1392,中国南方航空公司,浦东(T2-S2),B,郑州,14:47:00
248,11:30,CA1508 SC5393 ZH1508,中国国际航空公司,虹桥(T2),A,北京 首都,13:45:00
249,11:35,HU7132,海南航空公司,虹桥(T2),A,广州 白云,14:00:00
250,11:35,MU5411 3U5197 AF4401 KL8826 MF3746,中国东方航空公司,浦东(T1-S1),B,成都 双流,15:04:00
251,11:40,MF8582 3U2668 CZ4475 G59174 HO7305 MU4869 NS8582,厦门航空有限公司,虹桥(T1),1,重庆,14:25:00
252,11:40,CZ3966 HO7490 MF1678,中国南方航空公司,虹桥(T2),D,深圳,14:15:00
253,11:40,MU5527 AF5228 HO5439 KL8796 MF3822 QF4029,中国东方航空公司,浦东(T1-S1),B,烟台,13:08:00
254,11:45,MU5602 HO5656 KL8749 MF3871,中国东方航空公司,浦东(T1),B,上海 浦东,09:50:00
255,11:45,MU9029,中国东方航空公司,浦东(T1),B,石家庄,14:02:00
256,11:45,CA4544 HO5751 SC5274 ZH4574,中国国际航空公司,虹桥(T2),A,重庆,14:40:00
257,11:50,CZ3524 3U1206 HO7402 MF1335,中国南方航空公司,虹桥(T2),D,广州 白云,14:10:00
258,11:50,MU5621 AF7869 EY5743 HO5460 KL8832 MF3884,中国东方航空公司,浦东(T1-S1),B,大连,13:36:00
259,11:50,CZ6258 3U1550 BA2020 HO7538 MF1960,中国南方航空公司,浦东(T2-S2),B,哈尔滨,14:31:00
260,11:50,MU5275 HO5583 MF3646,中国东方航空公司,虹桥(T2),B,银川,14:55:00
261,11:50,MU2409 HO5689 MF3192,中国东方航空公司,虹桥(T2),B,太原,14:10:00
262,11:55,9C8837,中国春秋航空公司,虹桥(T1),1,厦门,14:00:00
263,11:55,FM9347 MU8443,上海航空公司,虹桥(T2),B,郑州,14:10:00
264,11:55,3U8962 MU3554,四川航空公司,浦东(T2-S2),L,成都 双流,15:15:00
265,11:55,HU7722,海南航空公司,浦东(T2-S2),A,深圳,14:20:00
266,11:55,FM9457 MU8507,上海航空公司,虹桥(T2),B,贵阳,14:40:00
267,12:00,MU5109 MF3526,中国东方航空公司,虹桥(T2),C,北京 首都,14:15:00
268,12:00,ZH9514 CA3814 HO5153 KY9514 SC9218,深圳航空公司,浦东(T2),K,深圳,14:34:00
269,12:00,MU5337 MF3688,中国东方航空公司,虹桥(T2),C,深圳,14:30:00
270,12:00,8L9612,云南祥鹏航空,浦东(T2-S2),A,景洪 嘎洒,15:46:00
271,12:00,HU7846,海南航空公司,浦东(T2-S2),A,西安 咸阳,14:44:00
272,12:05,MF8532,厦门航空有限公司,浦东(T2-S2),A,银川,15:40:00
273,12:05,EU6676 3U5872 CZ9890 GJ5594 MU1500 TV5354,成都航空有限公司,浦东(T2-S2),L,成都 双流,00:39:00
274,12:05,FM9517,上海航空公司,虹桥(T2),B,三亚,15:25:00
275,12:05,CZ6504 BA2022 HO7581 MF4134,中国南方航空公司,浦东(T2-S2),B,沈阳 桃仙,14:18:00
276,12:05,CZ3262 BA2029 HO7376,中国南方航空公司,浦东(T2-S2),B,南宁,15:09:00
277,12:10,MU5802 HO5356 MF3961,中国东方航空公司,虹桥(T2),B,昆明,15:20:00
278,12:10,CZ3652 3U1264 HO7460 MF1442,中国南方航空公司,浦东(T2-S2),B,贵阳,15:07:00
279,12:10,HU7606,海南航空公司,虹桥(T2),A,北京 首都,14:20:00
280,12:10,MF8512 3U2608 CZ4411 G59448 HO7249 MU4833 NS8512,厦门航空有限公司,虹桥(T1),1,厦门,14:00:00
281,12:10,MU5605 MF3874,中国东方航空公司,浦东(T1-S1),B,珠海,14:43:00
282,12:15,CA2834 SC5431 ZH4234,中国国际航空公司,浦东(T2),K,天津,14:22:00
283,12:15,SC4602 CA4728,山东航空公司,浦东(T2-S2),K,青岛,13:35:00
284,12:15,CA4576 NZ3728 SC5479 ZH4596,中国国际航空公司,浦东(T2),K,重庆,15:05:00
285,12:20,FM9069 MU8307,上海航空公司,浦东(T1-S1),D,长春,14:56:00
286,12:25,CA1502 HO5741 SC5395 ZH1502,中国国际航空公司,虹桥(T2),A,北京 首都,14:45:00
287,12:25,MU2154,中国东方航空公司,虹桥(T2),B,西安 咸阳,14:35:00
288,12:30,MU5305 HO5326 MF3662,中国东方航空公司,虹桥(T2),C,广州 白云,15:05:00
289,12:30,MU5409 3U5195 HO5342 MF3744,中国东方航空公司,虹桥(T2),C,成都 双流,15:40:00
290,12:30,KN5706 MU8135,中国联合航空公司,浦东(T1-S1),A,佛山,16:19:00
291,12:35,CA1837 SC5445 ZH1837,中国国际航空公司,虹桥(T2),A,广州 白云,15:05:00
292,12:35,PN6438,西部航空,浦东(T2-S2),A,重庆,15:33:00
293,12:40,MU5429 3U5213 HO5364 MF3764,中国东方航空公司,虹桥(T2),B,重庆,15:25:00
294,12:40,CZ3596 3U1242 HO7450 MF1396,中国南方航空公司,虹桥(T2),D,广州 白云,11:15:00
295,12:40,CZ3516 HO7398,中国南方航空公司,浦东(T2-S2),B,海口,15:52:00
296,12:40,CZ3690 HO7468,中国南方航空公司,浦东(T2-S2),B,珠海,15:13:00
297,12:45,9C8865,中国春秋航空公司,虹桥(T1),1,乌鲁木齐,18:05:00
298,12:45,CZ6754 BA2015 HO7629,中国南方航空公司,浦东(T2-S2),B,三亚,16:16:36
299,12:50,MU9013,中国东方航空公司,浦东(T1),A,揭阳 潮汕,15:20:00
300,12:50,MU5467 HO5554 KL8828 MF3790,中国东方航空公司,浦东(T1-S1),B,三亚,16:04:00
301,12:50,Y87566,金鹏航空,浦东(T2-S2),A,深圳,15:14:00
302,12:50,FM9101 KN3002 MU8331,上海航空公司,虹桥(T2),C,北京 大兴,15:10:00
303,12:50,GS6430,天津航空,浦东(T2-S2),A,威海,14:18:00
304,12:55,FM9231 MU8375,上海航空公司,虹桥(T2),B,烟台,14:35:00
305,12:55,MU6803 MF2220,中国东方航空公司,虹桥(T2),B,兰州,16:15:00
306,12:55,HU7724,海南航空公司,浦东(T2-S2),A,深圳,15:25:00
307,12:55,FM9333 MU8433,上海航空公司,虹桥(T2),C,深圳,15:30:00
308,13:00,CZ6506 BA2021 HO7583 MF4136,中国南方航空公司,浦东(T2-S2),B,沈阳 桃仙,15:18:00
309,13:00,MU5111 3U5161 HO5400 MF3528,中国东方航空公司,虹桥(T2),C,北京 首都,15:10:00
310,13:00,9C6189,中国春秋航空公司,浦东(T2),M,哈尔滨,15:42:00
311,13:00,9C8855,中国春秋航空公司,虹桥(T1),1,广州 白云,15:25:00
312,13:00,EU6670 MU3198,成都航空有限公司,虹桥(T2),B,成都 双流,16:10:00
313,13:05,CZ6542 BA2018 HO7603,中国南方航空公司,浦东(T2-S2),B,长春,15:53:00
313,13:05,MU9726 3U5470 HO5598 MF2297,中国东方航空公司,虹桥(T2),B,大理,16:50:00
314,13:05,ZH9516 CA3724 HO5187 KY9318 NH6600 SC9360,深圳航空公司,浦东(T2),K,深圳,15:45:00
315,13:05,MU5647 HO5718 MF3895,中国东方航空公司,虹桥(T2),B,厦门,14:50:00
316,13:10,MU2469 HO5724 MF3236,中国东方航空公司,虹桥(T2),B,武汉 天河,15:00:00
317,13:10,3U8964 MU3556,四川航空公司,浦东(T2-S2),L,成都 双流,16:04:00
318,13:15,CA4508 NZ3714 SC5503 ZH4538,中国国际航空公司,浦东(T2),K,成都 双流,16:14:00
319,13:15,SC4654 CA4758 G56568 TV3150 ZH2660,山东航空公司,虹桥(T2),A,青岛,15:00:00
320,13:15,KY8220,昆明航空公司,浦东(T2-S2),A,昆明,16:38:00
321,13:20,HO1113,吉祥航空公司,浦东(T2),L,青岛,14:40:00
322,13:20,MU5271 HO5710 MF3642,中国东方航空公司,虹桥(T2),B,长沙市,15:10:00
323,13:20,MU2156 HO5588 MF3044,中国东方航空公司,虹桥(T2),B,西安 咸阳,15:55:00
324,13:25,9C8829,中国春秋航空公司,虹桥(T1),1,常德,15:40:00
325,13:30,MU5345 HO5330 MF3696 SV6979,中国东方航空公司,浦东(T1-S1),B,广州 白云,18:31:00
326,13:30,CZ6752 BA2004 HO7627 MF4292,中国南方航空公司,浦东(T2-S2),B,深圳,16:23:48
327,13:30,MU5157 MF3570,中国东方航空公司,虹桥(T2),C,北京 首都,15:45:00
328,13:30,CA1520 SC5397 UA7574 ZH1520,中国国际航空公司,虹桥(T2),A,北京 首都,15:45:00
329,13:40,9C8847,中国春秋航空公司,浦东(T2-S2),M,兰州,16:41:00
330,13:40,MU5205 HO5543 MF3604,中国东方航空公司,虹桥(T2),B,揭阳 潮汕,16:00:00
331,13:40,CZ3532 3U1212 HO7407 MF1342,中国南方航空公司,虹桥(T2),D,广州 白云,16:10:00
332,13:40,FM9061 MU8569,上海航空公司,浦东(T1-S1),D,哈尔滨,16:11:00
333,13:40,9C7605,中国春秋航空公司,浦东(T2-S2),M,景洪 嘎洒,17:29:00
334,13:40,MU2534 AF5265 KL8761 MF3279,中国东方航空公司,浦东(T1-S1),B,武汉 天河,15:09:00
335,13:45,MU2403 HO5684 MF3186,中国东方航空公司,虹桥(T2),B,太原,16:10:00
336,13:45,FM9257 MU8389,上海航空公司,浦东(T1),D,厦门,17:14:00
337,13:45,HO1159,吉祥航空公司,浦东(T2),L,珠海,16:27:00
338,13:45,FM9083 MU8319,上海航空公司,浦东(T1-S1),A,沈阳 桃仙,15:56:00
339,13:50,CZ3852 HO7484 MF1592,中国南方航空公司,浦东(T2-S2),B,揭阳 潮汕,17:20:11
340,13:50,9C8947,中国春秋航空公司,虹桥(T1),1,西安 咸阳,16:20:00
341,13:50,MU9716 HO5625 MF2289,中国东方航空公司,浦东(T1),B,昭通,17:07:00
342,13:50,FM9219 MU8365,上海航空公司,虹桥(T2),B,乌鲁木齐,19:35:00
343,13:55,MF8377 3U2489 CZ4294 G59111 GJ3887 HO7148 MU4760,厦门航空有限公司,虹桥(T1),1,深圳,10:40:00
344,13:55,NS8377,河北航空公司,虹桥(T1),1,深圳,10:40:00
345,13:55,CA1532 SC5399 ZH1532,中国国际航空公司,虹桥(T2),A,北京 首都,16:20:00
346,14:00,MU5113 HO5391 MF3530,中国东方航空公司,虹桥(T2),C,北京 首都,16:15:00
347,14:00,HO1153 MU3628,吉祥航空公司,浦东(T2),L,桂林,16:39:00
348,14:00,9C7115,中国春秋航空公司,浦东(T2-S2),M,丽江,17:44:00
349,14:00,CZ3658 3U1268 HO7462 MF1448,中国南方航空公司,浦东(T2-S2),B,贵阳,16:58:31
350,14:00,MU5341 HO5404 MF3692,中国东方航空公司,虹桥(T2),C,深圳,16:20:00
351,14:00,MU5227 G58511 HO5524 MF3620,中国东方航空公司,虹桥(T2),B,天津,16:05:00
352,14:00,HO1067 MU3830,吉祥航空公司,浦东(T2),L,庆阳 西峰,16:43:00
353,14:00,MU5659 3U5263 HO5451 MF3901,中国东方航空公司,浦东(T1),B,西昌,17:32:00
354,14:05,MU5543,中国东方航空公司,浦东(T1-S1),B,烟台,15:23:00
355,14:05,CA4518 NZ3709 SC5505 ZH4548,中国国际航空公司,浦东(T2),K,成都 双流,17:05:00
356,14:05,FM9419 MU8479,上海航空公司,虹桥(T2),B,重庆,16:45:00
357,14:05,MU5563 AF5213 KL8834 MF3847,中国东方航空公司,浦东(T1),B,青岛,15:31:00
358,14:05,HO1129 3U4399 CA3253 CZ078 MF7668 MU3668 ZH5069,吉祥航空公司,虹桥(T2),E,三亚,15:50:00
359,14:10,MU5804 MF3963,中国东方航空公司,虹桥(T2),B,昆明,17:50:00
360,14:10,TV9882 CA3968 EU7850 GJ5150 KY6750 SC6150 ZH3928,西藏航空公司,虹桥(T2),A,成都 双流,17:00:00
361,14:10,MF8568 3U2656 CZ4463 G59490 HO7295 MU4863 NS8568,厦门航空有限公司,虹桥(T1),1,厦门,15:55:00
362,14:15,FM9387 MU8461,上海航空公司,虹桥(T2),B,南宁,16:50:00
363,14:15,9C8775,中国春秋航空公司,虹桥(T1),1,深圳,16:45:00
364,14:20,9C6759,中国春秋航空公司,浦东(T2-S2),M,沈阳 桃仙,16:29:00
365,14:20,MU5625 EY5703 KL8732 MF3886,中国东方航空公司,浦东(T1-S1),A,大连,16:00:00
366,14:20,CZ6994 3U1910 MF4470,中国南方航空公司,虹桥(T2),D,乌鲁木齐,19:30:00
367,14:25,9C8733,中国春秋航空公司,浦东(T2-S2),M,太原,16:50:00
368,14:25,MU2158 3U5014 HO5569 MF3046,中国东方航空公司,虹桥(T2),B,西安 咸阳,16:40:00
369,14:25,FM9211,上海航空公司,浦东(T1),A,兰州,18:27:00
370,14:30,MU5159,中国东方航空公司,虹桥(T2),C,北京 首都,16:45:00
371,14:30,HO1885 3U4515 CA3295 CZ250 MF7602 MU3602 ZH5003,吉祥航空公司,虹桥(T2),E,深圳,16:50:00
372,14:35,HO1125 3U4395 CA3249 CZ074 MF7676 MU3676 ZH5077,吉祥航空公司,虹桥(T2),E,长沙市,16:30:00
373,14:40,HO1163,吉祥航空公司,浦东(T2),L,大连,16:35:00
374,14:40,CZ3554 3U1226 HO7423 MF1359,中国南方航空公司,虹桥(T2),D,深圳,17:20:00
375,14:45,CA1524 SC5401 ZH1524,中国国际航空公司,虹桥(T2),A,北京 首都,17:15:00
376,14:45,HO1215 MU3806 NH9773,吉祥航空公司,浦东(T2-S2),L,西安 咸阳,17:30:00
377,14:45,MU6331 HO5480 KL8714 MF7456,中国东方航空公司,浦东(T1-S1),B,湛江,17:48:00
378,14:50,GS7588,天津航空,浦东(T2-S2),A,宜昌,17:06:00
379,14:50,MU6411 HO5466 MF7498,中国东方航空公司,虹桥(T2),B,西宁,18:40:00
380,14:50,CZ8755 3U2015 BA2024 HO7671,中国南方航空公司,浦东(T2-S2),B,昆明,19:13:00
381,14:50,MU5549 AF5220 HO5472 KL8725 MF3836,中国东方航空公司,浦东(T1-S1),B,海口,18:46:52
382,14:50,CZ3538 3U1216 HO7413 MF1348,中国南方航空公司,虹桥(T2),D,广州 白云,17:15:00
383,14:50,HO1859 3U4509 CZ242 MF7618 MU3618 ZH5019,吉祥航空公司,虹桥(T2),E,广州 白云,17:10:00
384,14:55,HO1083 3U4369 CZ046 MF7648 MU3648 ZH5049,吉祥航空公司,虹桥(T2),E,昆明,18:10:00
385,14:55,CA8537 SC5481 ZH4823,中国国际航空公司,浦东(T2),K,昆明,18:18:00
386,14:55,MU6293 HO5476,中国东方航空公司,浦东(T1-S1),B,大庆,17:49:00
387,15:00,MU5615 3U5251 KL8742 MF3880,中国东方航空公司,浦东(T1),B,哈尔滨,17:51:00
388,15:00,MU5115 3U5163 HO5368 MF3532,中国东方航空公司,虹桥(T2),C,北京 首都,17:15:00
389,15:00,MU5607 3U5249 EY5715 HO5671 KL8752 MF3876,中国东方航空公司,浦东(T1-S1),A,沈阳 桃仙,17:15:00
390,15:00,MU5343 EY5736 KL8700 MF3694,中国东方航空公司,浦东(T1-S1),B,深圳,18:08:00
391,15:00,MU5515 HO5645 MF3812,中国东方航空公司,虹桥(T2),B,青岛,16:30:00
392,15:05,9C8935,中国春秋航空公司,浦东(T2-S2),M,长春,17:24:00
393,15:05,FM9399 MU8475,上海航空公司,浦东(T1),D,长沙市,17:12:00
394,15:10,MU9193,中国东方航空公司,虹桥(T2),B,重庆,17:50:00
395,15:10,CA8575 NZ3739 SC5441 ZH4853,中国国际航空公司,浦东(T2),K,长春,17:34:00
396,15:10,MF8542 3U2636 CZ4437 G59472 HO7277 MU4849 NS8542,厦门航空有限公司,虹桥(T1),1,福州,16:40:00
397,15:15,MU5691 HO5496 MF3925,中国东方航空公司,虹桥(T2),B,银川,18:10:00
398,15:15,CZ5666,中国南方航空公司,浦东(T2),B,揭阳 潮汕,17:14:00
399,15:20,HO1195,吉祥航空公司,浦东(T2),L,青岛,16:46:00
400,15:20,MU6337 HO5527 MF7462,中国东方航空公司,虹桥(T2),B,哈尔滨,18:25:00
