序号,计划时间,航班号,航空公司,航站楼,值机区域,目的地,计划到达时间
201,10:35,MU5662 AF5216 EY5717 HO5516 MF3904 QF4074,中国东方航空公司,浦东(T1-S1),B,上海 浦东,09:30:00
202,10:35,CZ6522 BA2019 HO7593 MF4152,中国南方航空公司,浦东(T2-S2),B,大连,12:18:00
203,10:35,FM9515 KN3006 MU8533,上海航空公司,浦东(T1-S1),D,温州,12:31:00
204,10:40,CA8954 NZ3750,中国国际航空公司,浦东(T2),K,大连,12:26:00
205,10:40,FM9251,上海航空公司,虹桥(T2),B,海口,13:40:00
206,10:40,CZ3626 3U1250 HO7458 MF1422,中国南方航空公司,虹桥(T2),D,深圳,13:10:00
207,10:40,9C8881,中国春秋航空公司,虹桥(T1),1,深圳,13:10:00
208,10:45,SC1166 CA4636 G58340 TV3012 ZH2512,山东航空公司,虹桥(T2),A,济南,12:25:00
209,10:45,MU2401 AF5238 HO5697 MF3184 QF4199,中国东方航空公司,浦东(T1-S1),B,太原,12:48:00
210,10:45,MU6732 HO5699 MF2217,中国东方航空公司,浦东(T1-S1),B,山西 运城,13:43:00
211,10:50,CA2826 SC5425 ZH4194,中国国际航空公司,虹桥(T2),A,天津,12:55:00
212,10:50,MU5643 G56826 MF3891,中国东方航空公司,虹桥(T2),B,天津,12:55:00
213,10:50,MU5511 AF4406 KL8808 QF4066,中国东方航空公司,浦东(T1-S1),B,青岛,12:19:00
214,10:50,FM9465 MU8505,上海航空公司,浦东(T1-S1),D,昆明,14:38:00
215,10:50,CZ3534 3U1214 HO7409 MF1344,中国南方航空公司,虹桥(T2),D,广州 白云,13:15:00
216,10:55,HO1857 3U4507 CZ240 MF7606 MU3606 ZH5007,吉祥航空公司,虹桥(T2),E,广州 白云,13:15:00
217,10:55,MF8578 3U2664 CZ4473 G59500 HO7301 MU4865 NS8578,厦门航空有限公司,虹桥(T1),1,泉州 晋江,12:45:00
218,10:55,MF8528 MU4841,厦门航空有限公司,浦东(T2-S2),A,福州,12:20:00
219,10:55,MU5601 AF5205 EY5721 HO5653 MF3870 QF4233,中国东方航空公司,浦东(T1-S1),A,沈阳 桃仙,13:14:00
220,11:00,MU5107 HO5360 MF3524,中国东方航空公司,虹桥(T2),C,北京 首都,13:15:00
221,11:00,HO1135 MU3694,吉祥航空公司,浦东(T2),L,张家界 大庸,13:05:00
222,11:05,KN5778 MU8141,中国联合航空公司,虹桥(T2),B,佛山,13:30:00
223,11:05,FM9397,上海航空公司,虹桥(T2),B,长沙市,13:10:00
224,11:05,3U8972 MU3560,四川航空公司,浦东(T2-S2),L,重庆,14:00:00
225,11:05,HU7614,海南航空公司,浦东(T2-S2),A,北京 首都,13:41:00
226,11:05,NS3220 CZ9741 MF7011 RY2012,河北航空公司,虹桥(T1),1,石家庄,13:05:00
227,11:05,CZ3824 BA2002 HO7478 MF1572,中国南方航空公司,浦东(T2-S2),B,武汉 天河,12:57:00
228,11:10,MU2506 HO5730 MF3256,中国东方航空公司,虹桥(T2),B,武汉 天河,13:00:00
229,11:10,MU5665 HO5686 MF3907,中国东方航空公司,虹桥(T2),B,厦门,12:55:00
230,11:10,FM9367 MU8459,上海航空公司,浦东(T1-S1),D,桂林,13:53:00
231,11:15,HU7604,海南航空公司,虹桥(T2),A,北京 首都,13:30:00
232,11:15,MU5427 3U5211 G58503 HO5454 MF3762 QF4011,中国东方航空公司,浦东(T1),B,重庆,14:06:00
233,11:15,MU5289 MF3654,中国东方航空公司,浦东(T1-S1),B,珠海,13:47:00
234,11:15,SC2292 CA4736 G56532 TV3136 ZH2640,山东航空公司,虹桥(T2),A,珠海,13:50:00
235,11:20,SC2168 CA4692,山东航空公司,浦东(T2-S2),K,厦门,13:15:00
