序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
401,CZ6171 HO7529 MF1904,中国南方航空公司,上海 浦东,武汉 天河,4006695539,15:51:00,17:20:00,浦东(T2-S2)
402,ZH9521 CA3313 HO5194 KY9521 SC9239,深圳航空公司,上海 浦东,深圳,95361,15:17:00,17:20:00,浦东(T2)
403,MU5520 HO5359 MF3816,中国东方航空公司,上海 虹桥,青岛,95530,15:33:00,17:20:00,虹桥(T2)
404,CZ3557 3U1227 HO7424 MF1360,中国南方航空公司,上海 虹桥,深圳,4006695539,15:07:00,17:25:00,虹桥(T2)
405,MU6806 HO5680 KL8724 MF2223,中国东方航空公司,上海 浦东,兰州,95530,14:48:00,17:25:00,浦东(T1)
406,MU5116 3U5164 HO5361 MF3533,中国东方航空公司,上海 虹桥,,,,,虹桥(T2)
407,CZ3571 3U1233 HO7431 MF1373,中国南方航空公司,上海 虹桥,广州 白云,4006695539,15:13:00,17:25:00,虹桥(T2)
408,FM9112 MU8334,上海航空公司,上海 浦东,天津,95530,15:00:00,17:25:00,浦东(T1-S1)
409,CZ6155 HO7527,中国南方航空公司,上海 浦东,长春,4006695539,14:27:00,17:30:00,浦东(T2-S2)
410,MU6867 HO5395 KN6162 MF2242,中国东方航空公司,上海 虹桥,北京 大兴,95530,15:09:00,17:30:00,虹桥(T2)
411,HO1178 3U4420 CA3260 CZ113 MF7681 MU3681 ZH5082,吉祥航空公司,上海 虹桥,三亚,95520,14:28:00,17:30:00,虹桥(T2)
412,FM9230 MU8374,上海航空公司,上海 虹桥,青岛,95530,16:07:00,17:35:00,虹桥(T2)
413,3U8973 MU3561,四川航空公司,上海 浦东,重庆,4008-300-999,15:00:00,17:35:00,浦东(T2-S2)
414,MU2286 HO5659 MF3117,中国东方航空公司,上海 虹桥,威海,95530,15:37:00,17:35:00,虹桥(T2)
415,ZH9533 CA3541 HO5168 KY9533 SC9233,深圳航空公司,上海 浦东,广州 白云,95361,15:02:00,17:40:00,浦东(T2)
416,FM9252,上海航空公司,上海 虹桥,海口,95530,14:55:00,17:40:00,虹桥(T2)
417,ZH9525 CA3333 HO5158 KY9315 SC9225,深圳航空公司,上海 浦东,深圳,95361,15:13:00,17:40:00,浦东(T2)
418,CZ6501 HO7578 MF4131,中国南方航空公司,上海 浦东,沈阳 桃仙,4006695539,15:00:00,17:40:00,浦东(T2-S2)
419,HU7605,海南航空公司,上海 虹桥,北京 首都,95339,15:42:00,17:40:00,虹桥(T2)
420,MU5348 HO5397 MF3698,中国东方航空公司,上海 虹桥,深圳,95530,15:38:00,17:45:00,虹桥(T2)
421,MU5310 HO5493 MF3667,中国东方航空公司,上海 虹桥,广州 白云,95530,15:31:00,17:45:00,虹桥(T2)
422,HO1212 AY3170,吉祥航空公司,上海 浦东,西安 咸阳,95520,15:36:00,17:45:00,浦东(T2)
423,SC7617 CA4915 G58423 TV3311 ZH2793,山东航空公司,上海 虹桥,烟台,95369,16:08:00,17:50:00,虹桥(T2)
424,CZ3593 HO7447 MF1393,中国南方航空公司,上海 浦东,郑州,4006695539,16:01:00,17:50:00,浦东(T2-S2)
425,MU5432 3U5216 G58504 HO5455 MF3767 QF4038,中国东方航空公司,上海 浦东,重庆,95530,15:23:00,17:50:00,浦东(T1)
426,HO1210 3U4432 CA3268 CZ127 MF7673 MU3673 ZH5074,吉祥航空公司,上海 虹桥,贵阳,95520,15:20:00,17:50:00,虹桥(T2)
427,9C8848,中国春秋航空公司,上海 浦东,兰州,95524,19:35:00,17:55:00,浦东(T2)
428,MU9010,中国东方航空公司,上海 浦东,揭阳 潮汕,95530,15:46:00,17:55:00,浦东(T1)
429,MU5817 3U5307 MF3974 QF4060,中国东方航空公司,上海 浦东,昆明,95530,14:33:00,18:00:00,浦东(T1-S1)
430,CA1515 SC5418 ZH1515,中国国际航空公司,上海 虹桥,北京 首都,95583,16:05:00,18:00:00,虹桥(T2)
431,HU7841,海南航空公司,上海 浦东,西安 咸阳,95339,15:51:00,18:00:00,浦东(T2-S2)
432,MU5648 HO5719 MF3896,中国东方航空公司,上海 虹桥,厦门,95530,16:07:00,18:05:00,虹桥(T2)
433,MU5634 3U5258 HO5547 MF3890,中国东方航空公司,上海 虹桥,乌鲁木齐,95530,13:20:00,18:05:00,虹桥(T2)
434,3U8965 MU3557,四川航空公司,上海 浦东,成都 双流,4008-300-999,15:15:00,18:05:00,浦东(T2-S2)
435,CZ6535 HO7600 MF4163,中国南方航空公司,上海 浦东,大连,4006695539,15:59:00,18:05:00,浦东(T2-S2)
