序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
436,MU5460 HO5691 MF3785,中国东方航空公司,上海 虹桥,呼和浩特,95530,15:16:00,18:05:00,虹桥(T2)
437,CZ8431 HO7654 MF4537,中国南方航空公司,上海 浦东,长沙市,4006695539,16:07:00,18:10:00,浦东(T2-S2)
438,9C6518,中国春秋航空公司,上海 虹桥,石家庄,95524,16:18:00,18:10:00,虹桥(T1)
439,FM9540 MU8540,上海航空公司,上海 浦东,三亚,95530,14:53:00,18:10:00,浦东(T1-S1)
440,MU2509 MF3258,中国东方航空公司,上海 虹桥,武汉 天河,95530,16:33:00,18:10:00,虹桥(T2)
441,MU2161,中国东方航空公司,上海 虹桥,西安 咸阳,95530,16:03:00,18:15:00,虹桥(T2)
442,MU5606 HO5534 MF3875,中国东方航空公司,上海 浦东,珠海,95530,15:50:00,18:15:00,浦东(T1)
443,MU5118 MF3535,中国东方航空公司,上海 虹桥,北京 首都,95530,16:08:00,18:15:00,虹桥(T2)
444,MU5564 AF5292 MF3848 QF4273,中国东方航空公司,上海 浦东,青岛,95530,16:57:00,18:20:00,浦东(T1-S1)
445,CA4537,中国国际航空公司,上海 虹桥,成都 双流,95583,15:30:00,18:20:00,虹桥(T2)
446,EU6667 3U5867 CZ9895 GJ5591 MU3195 TV5351,成都航空有限公司,上海 浦东,成都 双流,956028,15:25:00,18:20:00,浦东(T2-S2)
447,MU5272 HO5711 MF3643,中国东方航空公司,上海 虹桥,长沙市,95530,16:15:00,18:25:00,虹桥(T2)
448,CZ3503 HO7395 MF1316,中国南方航空公司,上海 虹桥,广州 白云,4006695539,16:15:00,18:25:00,虹桥(T2)
449,CZ3755 HO7471,中国南方航空公司,上海 浦东,珠海,4006695539,15:52:00,18:25:00,浦东(T2-S2)
450,MU2353 HO5700 MF3156 QF4098,中国东方航空公司,上海 浦东,太原,95530,16:05:00,18:25:00,浦东(T1)
451,CZ6685 HO7624,中国南方航空公司,上海 浦东,海口,4006695539,15:25:00,18:30:00,浦东(T2-S2)
452,CZ3563 3U1229 HO7428 MF1366,中国南方航空公司,上海 虹桥,深圳,4006695539,16:05:00,18:30:00,虹桥(T2)
453,ZH9507 CA3807 HO5150 KY9507 SC9213 SC9487,深圳航空公司,上海 虹桥,深圳,95361,16:18:00,18:35:00,虹桥(T2)
454,KN5705 MU8134,中国联合航空公司,上海 浦东,佛山,4001026666,16:02:00,18:35:00,浦东(T1)
455,AQ1011,九元航空有限公司,上海 浦东,广州 白云,400-105-1999,16:10:00,18:35:00,浦东(T2)
456,CA2823 SC5430 ZH4191,中国国际航空公司,上海 虹桥,天津,95583,16:38:00,18:35:00,虹桥(T2)
457,CA1829,中国国际航空公司,上海 虹桥,广州 白云,95583,16:27:00,18:40:00,虹桥(T2)
458,HO2072,吉祥航空公司,上海 浦东,郑州,95520,16:52:00,18:40:00,浦东(T2)
459,CZ6225 BA2009 HO7533,中国南方航空公司,上海 浦东,青岛,4006695539,17:13:00,18:40:00,浦东(T2-S2)
460,FM9102 KN3003 MU8332,上海航空公司,上海 虹桥,北京 大兴,95530,16:29:00,18:40:00,虹桥(T2)
461,FM9458 MU8508,上海航空公司,上海 虹桥,贵阳,95530,16:23:00,18:45:00,虹桥(T2)
462,MF8096 MU4617,厦门航空有限公司,上海 浦东,沈阳 桃仙,95557,16:03:00,18:45:00,浦东(T2-S2)
463,9C8856,中国春秋航空公司,上海 虹桥,广州 白云,95524,16:41:00,18:45:00,虹桥(T1)
464,CA4555 NZ3723 SC5281 ZH4581,中国国际航空公司,上海 浦东,重庆,95583,16:27:00,18:45:00,浦东(T2)
465,MU5416 3U5202 HO5339 MF3751,中国东方航空公司,上海 虹桥,成都 双流,95530,16:14:00,18:45:00,虹桥(T2)
466,CZ6251 3U1543 HO7535 MF1953,中国南方航空公司,上海 浦东,哈尔滨,4006695539,15:53:00,18:45:00,浦东(T2-S2)
467,CA8911 NZ3745 SC5327,中国国际航空公司,上海 浦东,大连,95583,16:45:00,18:50:00,浦东(T2)
468,OQ2307 CZ2307,重庆航空公司,上海 浦东,重庆,,16:16:00,18:50:00,浦东(T2-S2)
469,CZ8761,中国南方航空公司,上海 浦东,长春,4006695539,15:54:00,18:50:00,浦东(T2-S2)
470,MU5312 HO5327 MF3669,中国东方航空公司,上海 虹桥,广州 白云,95530,16:39:00,18:50:00,虹桥(T2)
471,Y87510,金鹏航空,上海 浦东,贵阳,950719,16:15:00,18:50:00,浦东(T2-S2)
472,MU5560 HO5650 MF3846,中国东方航空公司,上海 虹桥,南昌 昌北,95530,17:32:00,18:55:00,虹桥(T2)
473,HO1010 MU3768,吉祥航空公司,上海 浦东,西安 咸阳,95520,16:39:00,18:55:00,浦东(T2)
474,CA8121 SC5468,中国国际航空公司,上海 浦东,呼和浩特,95583,16:01:00,19:00:00,浦东(T2)
475,9C8978,中国春秋航空公司,上海 浦东,大连,95524,17:06:00,19:00:00,浦东(T2-S2)
476,MF8585 3U2669 CZ4476 G59653 HO7306 MU4870 NS8585,厦门航空有限公司,上海 虹桥,福州,95557,17:37:00,19:00:00,虹桥(T1)
477,HU7607,海南航空公司,上海 虹桥,北京 首都,95339,16:46:00,19:00:00,虹桥(T2)
478,CA1549 SC5420 ZH1549,中国国际航空公司,上海 虹桥,北京 首都,95583,16:54:00,19:00:00,虹桥(T2)
479,MU5346 HO5628 MF3697,中国东方航空公司,上海 虹桥,深圳,95530,16:52:00,19:00:00,虹桥(T2)
480,ZH9527 CA3637 HO5304 KY9433 SC9629,深圳航空公司,上海 浦东,深圳,95361,16:44:00,19:05:00,浦东(T2)
481,CZ3289 HO7377 MF1158,中国南方航空公司,上海 虹桥,南宁,4006695539,16:19:00,19:05:00,虹桥(T2)
482,JD5665,北京首都航空有限公司,上海 浦东,丽江,95375,15:22:00,19:05:00,浦东(T2-S2)
483,HU7219,海南航空公司,上海 浦东,海口,95339,16:18:00,19:05:00,浦东(T2-S2)
484,MU5628 EY5702,中国东方航空公司,上海 浦东,大连,95530,16:55:00,19:05:00,浦东(T1-S1)
485,CZ6563 3U1671 MF4175,中国南方航空公司,上海 虹桥,乌鲁木齐,4006695539,14:30:00,19:05:00,虹桥(T2)
486,MU5626 EY5709 MF3887,中国东方航空公司,上海 浦东,大连,95530,17:10:00,19:10:00,浦东(T1)
487,KN5955 MU8208,中国联合航空公司,上海 虹桥,北京 大兴,4001026666,17:07:00,19:10:00,虹桥(T2)
488,MU5524 HO5646 MF3819,中国东方航空公司,上海 虹桥,青岛,95530,17:37:00,19:10:00,虹桥(T2)
489,MU5120 HO5382 MF3537,中国东方航空公司,上海 虹桥,北京 首都,95530,17:06:00,19:15:00,虹桥(T2)
490,FM9454 MU8500,上海航空公司,上海 虹桥,昆明,95530,16:09:00,19:15:00,虹桥(T2)
491,MU5228 G58512 HO5525 MF3621,中国东方航空公司,上海 虹桥,天津,95530,17:16:00,19:15:00,虹桥(T2)
492,MU2165 HO5565,中国东方航空公司,上海 虹桥,西安 咸阳,95530,17:19:00,19:15:00,虹桥(T2)
493,MU2180 AF9284 HO5636 MF3057,中国东方航空公司,上海 浦东,烟台,95530,17:40:00,19:20:00,浦东(T1-S1)
493,MU2406 HO5458 KN6034 MF3189,中国东方航空公司,上海 虹桥,太原,95530,17:10:00,19:20:00,虹桥(T2)
494,CZ6781 BA2016 HO7634,中国南方航空公司,上海 浦东,三亚,4006695539,15:59:00,19:20:00,浦东(T2-S2)
495,MU5434 3U5218 HO5365 MF3769,中国东方航空公司,上海 虹桥,重庆,95530,16:48:00,19:20:00,虹桥(T2)
496,HU7323,海南航空公司,上海 浦东,三亚,95339,15:49:00,19:25:00,浦东(T2-S2)
497,MU9014,中国东方航空公司,上海 浦东,揭阳 潮汕,95530,18:55:00,19:25:00,浦东(T1-S1)
498,MU5206 HO5544 MF3605,中国东方航空公司,上海 虹桥,揭阳 潮汕,95530,17:17:00,19:25:00,虹桥(T2)
499,SC2295 CA4749 G56469 TV3125 ZH2617,山东航空公司,上海 虹桥,珠海,95369,16:57:00,19:25:00,虹桥(T2)
500,FM9258 MU8390,上海航空公司,上海 浦东,厦门,95530,17:30:00,19:30:00,浦东(T1-S1)
501,NS3217,河北航空公司,上海 浦东,石家庄,0311-96699,17:41:00,19:30:00,浦东(T2-S2)
502,CA4501 HO5748 SC5510 ZH4531,中国国际航空公司,上海 虹桥,成都 双流,95583,16:53:00,19:30:00,虹桥(T2)
503,FM9134 MU8576,上海航空公司,上海 浦东,包头,95530,16:50:00,19:30:00,浦东(T1-S1)
504,HO1126 3U4396 CA3250 CZ075 MF7677 MU3677 ZH5078,吉祥航空公司,上海 虹桥,长沙市,95520,17:35:00,19:35:00,虹桥(T2)
505,HO1164,吉祥航空公司,上海 浦东,大连,95520,17:36:00,19:35:00,浦东(T2)
506,CZ3587 3U1239 HO7441 MF1387,中国南方航空公司,上海 虹桥,深圳,4006695539,17:13:00,19:35:00,虹桥(T2)
507,MF8555 MU4858,厦门航空有限公司,上海 浦东,北京 大兴,95557,17:27:00,19:35:00,浦东(T2-S2)
508,CZ6519 HO7590 MF4149,中国南方航空公司,上海 浦东,沈阳 桃仙,4006695539,17:04:00,19:35:00,浦东(T2-S2)
509,MU5603 HO5657 MF3872,中国东方航空公司,上海 浦东,湛江,95530,16:45:00,19:35:00,浦东(T1)
510,HO1196,吉祥航空公司,上海 浦东,青岛,95520,18:03:00,19:40:00,浦东(T2)
511,SC4605 CA4711,山东航空公司,上海 浦东,青岛,95369,18:15:00,19:40:00,浦东(T2-S2)
512,MU5498 3U5246 MF3803,中国东方航空公司,上海 虹桥,成都 双流,95530,17:12:00,19:40:00,虹桥(T2)
513,CZ6553 HO7606,中国南方航空公司,上海 浦东,长春,4006695539,16:55:00,19:45:00,浦东(T2-S2)
514,MU5160 MF3572,中国东方航空公司,上海 虹桥,北京 首都,95530,19:45:00,19:45:00,虹桥(T2)
515,MU2310 AF5211 HO5589 KL8837 MF3136,中国东方航空公司,上海 浦东,西宁,95530,16:25:00,19:45:00,浦东(T1-S1)
516,CA2831 ZH4431,中国国际航空公司,上海 浦东,天津,95583,17:40:00,19:45:00,浦东(T2)
517,CZ3543 3U1219 BA2000 HO7416 MF1352,中国南方航空公司,上海 浦东,武汉 天河,4006695539,18:10:00,19:50:00,浦东(T2-S2)
518,HO1160,吉祥航空公司,上海 浦东,珠海,95520,17:21:00,19:50:00,浦东(T2)
519,9C8948,中国春秋航空公司,上海 虹桥,西安 咸阳,95524,17:46:00,19:55:00,虹桥(T1)
520,CZ3969 HO7493 MF1681,中国南方航空公司,上海 浦东,长沙市,4006695539,17:54:00,19:55:00,浦东(T2-S2)
521,CZ6765 HO7632,中国南方航空公司,上海 浦东,海口,4006695539,16:53:00,19:55:00,浦东(T2-S2)
522,FM9270 MU8398,上海航空公司,上海 虹桥,井冈山,95530,17:50:00,20:00:00,虹桥(T2)
523,9C8868,中国春秋航空公司,上海 浦东,重庆,95524,17:33:00,20:00:00,浦东(T2-S2)
524,CA4541 SC5271 ZH4571,中国国际航空公司,上海 虹桥,重庆,95583,,20:00:00,虹桥(T2)
525,HO1154 MU3629,吉祥航空公司,上海 浦东,桂林,95520,17:25:00,20:00:00,浦东(T2)
526,ZH9529 CA3799 HO5306 KY9435 SC9633,深圳航空公司,上海 浦东,深圳,95361,17:34:00,20:00:00,浦东(T2)
527,MU5510 MF3809,中国东方航空公司,上海 虹桥,烟台,95530,18:07:00,20:00:00,虹桥(T2)
528,9C8734,中国春秋航空公司,上海 浦东,太原,95524,17:58:00,20:05:00,浦东(T2)
529,FM9334 MU8434,上海航空公司,上海 虹桥,深圳,95530,17:40:00,20:05:00,虹桥(T2)
530,FM9084 MU8320,上海航空公司,上海 浦东,沈阳 桃仙,95530,17:41:00,20:05:00,浦东(T1)
531,CA1509 SC5422 ZH1509,中国国际航空公司,上海 虹桥,北京 首都,95583,17:52:00,20:05:00,虹桥(T2)
532,MU5354 HO5331 MF3704,中国东方航空公司,上海 虹桥,广州 白云,95530,17:42:00,20:05:00,虹桥(T2)
533,MU6220 3U5382 HO5433 MF7401,中国东方航空公司,上海 浦东,喀什,95530,14:44:00,20:10:00,浦东(T1-S1)
534,CZ6141 3U1501 HO7525 MF1884,中国南方航空公司,上海 浦东,哈尔滨,4006695539,16:54:00,20:10:00,浦东(T2-S2)
535,MU9727 3U5471 AF5232 KL8860 MF2298 QF4285,中国东方航空公司,上海 浦东,昆明,95530,17:21:00,20:10:00,浦东(T1-S1)
536,HO1130 3U4400 CA3254 CZ079 MF7669 MU3669 ZH5070,吉祥航空公司,上海 虹桥,三亚,95520,17:04:00,20:10:00,虹桥(T2)
537,FM9518,上海航空公司,上海 虹桥,三亚,95530,16:54:00,20:10:00,虹桥(T2)
538,MU2513 MF3262,中国东方航空公司,上海 虹桥,武汉 天河,95530,18:28:00,20:10:00,虹桥(T2)
539,9C8776,中国春秋航空公司,上海 虹桥,深圳,95524,18:06:00,20:15:00,虹桥(T1)
540,SC1163 CA4611,山东航空公司,上海 浦东,济南,95369,18:24:00,20:15:00,浦东(T2-S2)
541,MU5811 MF3970,中国东方航空公司,上海 虹桥,昆明,95530,17:15:00,20:15:00,虹桥(T2)
542,FM9330 MU8430,上海航空公司,上海 虹桥,郑州,95530,18:27:00,20:15:00,虹桥(T2)
543,FM9400 MU8476,上海航空公司,上海 虹桥,长沙市,95530,18:16:00,20:15:00,虹桥(T2)
544,FM841 MU8607,上海航空公司,上海 浦东,长春,95530,17:36:00,20:20:00,浦东(T1-S1)
545,MU5202 HO5704,中国东方航空公司,上海 浦东,大同,95530,17:41:00,20:20:00,浦东(T1)
546,CZ8885 3U2067 HO7681 MF4715,中国南方航空公司,上海 虹桥,北京 大兴,4006695539,18:08:00,20:20:00,虹桥(T2)
547,HO1886 3U4516 CA3296 CZ251 MF7603 MU3603 ZH5004,吉祥航空公司,上海 虹桥,深圳,95520,18:22:00,20:20:00,虹桥(T2)
548,MU9016,中国东方航空公司,上海 浦东,揭阳 潮汕,95530,18:18:00,20:20:00,浦东(T1)
549,MU5122 HO5392 MF3539,中国东方航空公司,上海 虹桥,北京 首都,95530,18:01:00,20:25:00,虹桥(T2)
550,9C6720,中国春秋航空公司,上海 虹桥,广州 白云,95524,18:24:00,20:25:00,虹桥(T1)
551,MU5213 AF5236 HO5702 KL8788 MF3608 QF4280,中国东方航空公司,上海 浦东,太原,95530,18:07:00,20:25:00,浦东(T1-S1)
552,MU2167 AF9495 KL8766 MF3050 QF4080,中国东方航空公司,上海 浦东,西安 咸阳,95530,18:15:00,20:25:00,浦东(T1-S1)
553,SC2297 CA4741 G56699 TV3531 ZH3015,山东航空公司,上海 虹桥,珠海,95369,18:03:00,20:25:00,虹桥(T2)
554,CZ8211 3U1921 HO7638 MF4483,中国南方航空公司,上海 浦东,广州 白云,4006695539,18:12:00,20:30:00,浦东(T2-S2)
555,FM9420 MU8480,上海航空公司,上海 虹桥,重庆,95530,17:50:00,20:30:00,虹桥(T2)
556,9C8524,中国春秋航空公司,上海 浦东,恩施,95524,18:07:00,20:30:00,浦东(T2-S2)
557,MU5614 HO5463 KL8744 QF4283,中国东方航空公司,上海 浦东,哈尔滨,95530,17:27:00,20:30:00,浦东(T1)
558,MU6814 HO5580 MF2227,中国东方航空公司,上海 虹桥,兰州,95530,17:58:00,20:30:00,虹桥(T2)
559,MU5556 MF3842,中国东方航空公司,上海 虹桥,青岛,95530,18:43:00,20:30:00,虹桥(T2)
560,9C6760,中国春秋航空公司,上海 浦东,沈阳 桃仙,95524,17:51:00,20:35:00,浦东(T2-S2)
561,CZ6507 BA2027 HO7584 MF4137,中国南方航空公司,上海 浦东,沈阳 桃仙,4006695539,18:09:00,20:35:00,浦东(T2-S2)
562,ZH9531 CA3725 HO5196 KY9319 SC9371,深圳航空公司,上海 浦东,深圳,95361,18:12:00,20:40:00,浦东(T2)
563,KN2930 MU8011,中国联合航空公司,上海 浦东,石家庄,4001026666,19:30:00,20:45:00,浦东(T1)
564,MU5162,中国东方航空公司,上海 虹桥,北京 首都,95530,18:37:00,20:45:00,虹桥(T2)
565,CZ8263 3U1935 HO7645 MF4511,中国南方航空公司,上海 虹桥,贵阳,4006695539,17:49:00,20:45:00,虹桥(T2)
566,CA4223 LH7137 SC5287 ZH4375,中国国际航空公司,上海 浦东,贵阳,95583,17:57:00,20:45:00,浦东(T2)
567,FM9062 MU8570,上海航空公司,上海 浦东,哈尔滨,95530,17:40:00,20:45:00,浦东(T1)
568,MF8545 3U2639 CZ4440 G59475 HO7280 MU4850 NS8545,厦门航空有限公司,上海 虹桥,厦门,95557,19:15:00,20:45:00,虹桥(T1)
569,MU5466 AF5215 HO5717 MF3789 QF4073,中国东方航空公司,上海 浦东,南昌 昌北,95530,19:30:00,20:50:00,浦东(T1-S1)
570,3U8975,四川航空公司,上海 浦东,重庆,4008-300-999,18:05:00,20:50:00,浦东(T2-S2)
571,MF8505 3U2603 CZ4406 G59161 HO7244 MU4828 NS8505,厦门航空有限公司,上海 虹桥,长沙市,95557,19:03:00,20:50:00,虹桥(T1)
572,MU5468 AF5282 MF3791,中国东方航空公司,上海 浦东,三亚,95530,17:30:00,20:50:00,浦东(T1-S1)
573,MU9012,中国东方航空公司,上海 浦东,揭阳 潮汕,95530,19:00:00,20:55:00,浦东(T1)
574,CA1565 SC5424 ZH1565,中国国际航空公司,上海 虹桥,北京 首都,95583,18:58:00,20:55:00,虹桥(T2)
575,HO1860,吉祥航空公司,上海 浦东,广州 白云,95520,18:55:00,20:55:00,浦东(T2)
576,MU2548 HO5728,中国东方航空公司,上海 浦东,锦州,95530,18:17:00,20:55:00,浦东(T1)
577,CZ6525 BA2007 HO7596 MF4155,中国南方航空公司,上海 浦东,大连,4006695539,19:01:00,21:00:00,浦东(T2)
578,MU5438 HO5425,中国东方航空公司,上海 浦东,南充,95530,18:41:00,21:00:00,浦东(T1-S1)
579,MU5350 HO5405 MF3700,中国东方航空公司,上海 虹桥,深圳,95530,18:43:00,21:00:00,虹桥(T2)
580,HO1216 MU3807 NH9774,吉祥航空公司,上海 浦东,西安 咸阳,95520,18:30:00,21:00:00,浦东(T2-S2)
581,3U3269,四川航空公司,上海 浦东,西安 咸阳,4008-300-999,18:55:00,21:05:00,浦东(T2-S2)
582,MU5661 AF5287 EY5730 HO5515 KL8739 MF3903 QF4003,中国东方航空公司,上海 浦东,福州,95530,19:25:00,21:05:00,浦东(T1)
583,MU9725 3U5469 HO5599 MF2296,中国东方航空公司,上海 虹桥,大理,95530,17:44:00,21:05:00,虹桥(T2)
584,FM9350 MU8446,上海航空公司,上海 虹桥,郑州,95530,19:17:00,21:05:00,虹桥(T2)
585,MU6336 HO5532 MF7461,中国东方航空公司,上海 虹桥,大连,95530,19:12:00,21:10:00,虹桥(T2)
586,MU2523 AF5214 HO5731 MF3270 QF4006,中国东方航空公司,上海 浦东,武汉 天河,95530,19:27:00,21:10:00,浦东(T1)
587,MU6332 HO5481 KL8751 MF7457,中国东方航空公司,上海 浦东,湛江,95530,18:29:00,21:10:00,浦东(T1-S1)
588,FM9516 KN3007 MU8534,上海航空公司,上海 浦东,温州,95530,20:16:00,21:15:00,浦东(T1-S1)
589,CZ6997 3U1913 MF4473,中国南方航空公司,上海 虹桥,乌鲁木齐,4006695539,16:31:00,21:15:00,虹桥(T2)
590,MU2410 HO5693 MF3193,中国东方航空公司,上海 虹桥,太原,95530,20:29:00,21:15:00,虹桥(T2)
591,SC2165 CA4685,山东航空公司,上海 浦东,厦门,95369,19:31:00,21:15:00,浦东(T2-S2)
592,DZ6207,东海航空有限公司,上海 浦东,深圳,4000-888-666,18:55:00,21:15:00,浦东(T2-S2)
593,MU5608 3U5250 AF5233 EY5739 HO5672 MF3877 QF4266,中国东方航空公司,上海 浦东,沈阳 桃仙,95530,18:30:00,21:20:00,浦东(T1-S1)
594,MU5352 3U5186 AF5274 EY5738 HO5533 KL8817 MF3702,中国东方航空公司,上海 浦东,深圳,95530,19:04:00,21:20:00,浦东(T1-S1)
595,NS8378,河北航空公司,上海 虹桥,深圳,0311-96699,19:14:00,21:20:00,虹桥(T1)
596,MF8378 3U2490 CZ4295 G59112 GJ3888 HO7149 MU4761,厦门航空有限公司,上海 虹桥,深圳,95557,19:14:00,21:20:00,虹桥(T1)
597,SC4655 CA4759 G56573 TV3161 ZH2661,山东航空公司,上海 虹桥,青岛,95369,19:37:00,21:20:00,虹桥(T2)
598,FM9388 MU8462,上海航空公司,上海 虹桥,南宁,95530,18:53:00,21:20:00,虹桥(T2)
599,MU5124 3U5166 HO5369 MF3541,中国东方航空公司,上海 虹桥,北京 首都,95530,19:05:00,21:20:00,虹桥(T2)
600,AQ1005,九元航空有限公司,上海 浦东,广州 白云,400-105-1999,19:03:00,21:20:00,浦东(T2)
